date,inflation,unemployment,misery_index
1966-01-01,1.9181585677749302,4.0,5.91815856777493
1966-02-01,2.5575447570332477,3.8,6.3575447570332475
1966-03-01,2.7786649632705274,3.8,6.578664963270527
1966-04-01,2.8680688336520044,3.8,6.668068833652004
1966-05-01,2.763659466327839,3.9,6.6636594663278395
1966-06-01,2.4359379943056148,3.8,6.235937994305615
1966-07-01,2.754908169727699,3.8,6.554908169727699
1966-08-01,3.4865293185419866,3.8,7.286529318541986
1966-09-01,3.5736875395319334,3.7,7.273687539531934
1966-10-01,3.791469194312813,3.7,7.491469194312813
1966-11-01,3.5590551181102548,3.6,7.159055118110254
1966-12-01,3.3594976452119285,3.8,7.159497645211928
1967-01-01,3.19949811794229,3.9,7.099498117942289
1967-02-01,2.8678304239401653,3.8,6.667830423940165
1967-03-01,2.5481665630826544,3.8,6.348166563082654
1967-04-01,2.5402726146220633,3.8,6.340272614622063
1967-05-01,2.3183925811437467,3.8,6.1183925811437465
1967-06-01,2.8412600370598895,3.9,6.74126003705989
1967-07-01,2.9275808936825687,3.8,6.7275808936825685
1967-08-01,2.6033690658499253,3.8,6.403369065849925
1967-09-01,2.595419847328251,3.8,6.395419847328251
1967-10-01,2.5875190258751957,4.0,6.587519025875196
1967-11-01,3.10218978102188,3.9,7.00218978102188
1967-12-01,3.280680437424044,3.8,7.080680437424044
1968-01-01,3.647416413373872,3.7,7.347416413373872
1968-02-01,3.6363636363636376,3.8,7.436363636363637
1968-03-01,3.9393939393939315,3.7,7.639393939393932
1968-04-01,3.92749244712991,3.5,7.42749244712991
1968-05-01,4.229607250755274,3.5,7.729607250755274
1968-06-01,4.2042042042042205,3.7,7.904204204204221
1968-07-01,4.491017964071853,3.7,8.191017964071854
1968-08-01,4.477611940298498,3.5,7.977611940298498
1968-09-01,4.464285714285721,3.4,7.864285714285721
1968-10-01,4.7477744807121525,3.4,8.147774480712153
1968-11-01,4.424778761061954,3.4,7.824778761061953
1968-12-01,4.705882352941182,3.4,8.105882352941181
1969-01-01,4.692082111436946,3.4,8.092082111436946
1969-02-01,4.678362573099393,3.4,8.078362573099392
1969-03-01,5.247813411078739,3.4,8.647813411078738
1969-04-01,5.523255813953476,3.4,8.923255813953476
1969-05-01,5.507246376811592,3.4,8.907246376811592
1969-06-01,5.475504322766556,3.5,8.975504322766556
1969-07-01,5.4441260744985565,3.5,8.944126074498556
1969-08-01,5.428571428571427,3.5,8.928571428571427
1969-09-01,5.698005698005693,3.7,9.398005698005694
1969-10-01,5.665722379603411,3.7,9.365722379603412
1969-11-01,5.932203389830515,3.5,9.432203389830516
1969-12-01,5.89887640449438,3.5,9.39887640449438
1970-01-01,6.162464985994376,3.9,10.062464985994376
1970-02-01,6.424581005586605,4.2,10.624581005586606
1970-03-01,6.094182825484751,4.4,10.494182825484751
1970-04-01,6.060606060606077,4.6,10.660606060606078
1970-05-01,6.043956043956045,4.8,10.843956043956045
1970-06-01,6.010928961748618,4.9,10.910928961748619
1970-07-01,5.7065217391304435,5.0,10.706521739130444
1970-08-01,5.691056910569103,5.1,10.791056910569104
1970-09-01,5.660377358490565,5.4,11.060377358490566
1970-10-01,5.630026809651478,5.5,11.13002680965148
1970-11-01,5.600000000000005,5.9,11.500000000000005
1970-12-01,5.570291777188308,6.1,11.670291777188307
1971-01-01,5.277044854881274,5.9,11.177044854881274
1971-02-01,4.724409448818889,5.9,10.62440944881889
1971-03-01,4.438642297650142,6.0,10.43864229765014
1971-04-01,4.155844155844157,5.9,10.055844155844158
1971-05-01,4.404145077720201,5.9,10.3041450777202
1971-06-01,4.381443298969079,5.9,10.28144329896908
1971-07-01,4.370179948586128,6.0,10.370179948586127
1971-08-01,4.358974358974366,6.1,10.458974358974366
1971-09-01,4.081632653061207,6.0,10.081632653061206
1971-10-01,3.8071065989847774,5.8,9.607106598984778
1971-11-01,3.535353535353525,6.0,9.535353535353526
1971-12-01,3.266331658291466,6.0,9.266331658291467
1972-01-01,3.2581453634085378,5.8,9.058145363408538
1972-02-01,3.759398496240607,5.7,9.459398496240606
1972-03-01,3.499999999999992,5.8,9.299999999999992
1972-04-01,3.4912718204488824,5.7,9.191271820448883
1972-05-01,3.2258064516129226,5.7,8.925806451612923
1972-06-01,2.9629629629629672,5.7,8.662962962962968
1972-07-01,2.9556650246305383,5.6,8.555665024630539
