date,inflation,unemployment,misery_index
2016-01-01,9.578780378911112,10.2,19.77878037891111
2016-02-01,8.77739828026709,10.1,18.877398280267087
2016-03-01,7.4598899933748575,10.2,17.659889993374858
2016-04-01,6.565387554246271,10.1,16.665387554246273
2016-05-01,6.582305795006493,10.3,16.882305795006495
2016-06-01,7.637447526023866,10.7,18.337447526023865
2016-07-01,8.793384307293262,11.1,19.89338430729326
2016-08-01,8.045082278455729,11.1,19.145082278455728
2016-09-01,7.2821361011795815,11.6,18.882136101179583
2016-10-01,7.159457179498441,11.5,18.65945717949844
2016-11-01,7.000472769265342,11.6,18.60047276926534
2016-12-01,8.53306134681664,12.1,20.63306134681664
2017-01-01,9.218748368020702,12.0,21.2187483680207
2017-02-01,10.128222052749503,11.9,22.028222052749506
2017-03-01,11.291799839622385,11.9,23.191799839622384
2017-04-01,11.869618870119435,11.6,23.469618870119433
2017-05-01,11.722202591228648,11.1,22.822202591228645
2017-06-01,10.901137570036967,11.0,21.901137570036965
2017-07-01,9.788400285501918,10.6,20.388400285501916
2017-08-01,10.679309952564541,10.5,21.17930995256454
2017-09-01,11.198494853755058,10.3,21.49849485375506
2017-10-01,11.898831176277325,10.3,22.198831176277324
2017-11-01,12.984347328506907,10.1,23.084347328506908
2017-12-01,11.919709823735026,9.9,21.819709823735025
2018-01-01,10.345678969413807,9.8,20.145678969413808
2018-02-01,10.259119010885808,10.0,20.259119010885808
2018-03-01,10.234564149145786,10.0,20.234564149145786
2018-04-01,10.849549497925292,10.2,21.04954949792529
2018-05-01,12.147013520451821,10.6,22.747013520451823
2018-06-01,15.38509421788763,10.7,26.08509421788763
2018-07-01,15.84903473346817,10.8,26.64903473346817
2018-08-01,17.89643445054443,11.2,29.09643445054443
2018-09-01,24.518875137917906,11.5,36.0188751379179
2018-10-01,25.240313255109026,11.6,36.840313255109024
2018-11-01,21.61873890622934,12.2,33.81873890622934
2018-12-01,20.30177278378149,12.7,33.00177278378149
2019-01-01,20.3536706427367,13.6,33.9536706427367
2019-02-01,19.671642631551766,13.8,33.47164263155177
2019-03-01,19.71294437629334,13.9,33.61294437629334
2019-04-01,19.50229013436724,13.8,33.30229013436724
2019-05-01,18.71164703338892,13.7,32.41164703338892
2019-06-01,15.720104426460058,13.7,29.420104426460057
2019-07-01,16.64674027709403,13.9,30.54674027709403
2019-08-01,15.008483934390915,14.1,29.108483934390915
2019-09-01,9.262089160559416,14.1,23.362089160559414
2019-10-01,8.552868695697914,13.5,22.052868695697914
2019-11-01,10.56183787958056,13.3,23.861837879580563
2019-12-01,11.836083100345206,13.4,25.236083100345205
2020-01-01,12.153631740225368,13.0,25.153631740225368
2020-02-01,12.367382391636417,12.6,24.967382391636416
2020-03-01,11.859171129861657,13.0,24.859171129861657
2020-04-01,10.936707797829825,13.5,24.436707797829825
2020-05-01,11.390007253176183,13.6,24.99000725317618
2020-06-01,12.622400244942234,13.7,26.322400244942234
2020-07-01,11.764113567398171,14.1,25.86411356739817
2020-08-01,11.770386471077998,12.9,24.670386471077997
2020-09-01,11.748355783042697,12.6,24.3483557830427
2020-10-01,11.889613749824267,13.1,24.989613749824265
2020-11-01,14.02629987097388,13.0,27.02629987097388
2020-12-01,14.59932904526491,12.6,27.19932904526491
2021-01-01,14.973734284346808,12.3,27.27373428434681
2021-02-01,15.6109661865252,13.2,28.8109661865252
2021-03-01,16.190303792299954,12.9,29.090303792299956
2021-04-01,17.14013088026498,13.3,30.44013088026498
2021-05-01,16.592877048354925,13.4,29.992877048354927
2021-06-01,17.525326262677112,11.0,28.525326262677112
2021-07-01,18.951698118244288,11.6,30.55169811824429
2021-08-01,19.252667273178403,12.0,31.252667273178403
2021-09-01,19.58255952182679,11.3,30.882559521826792
2021-10-01,19.89001940833972,11.0,30.89001940833972
2021-11-01,21.312542139015633,11.2,32.512542139015636
2021-12-01,36.08091603526293,11.0,47.08091603526293
2022-01-01,48.690805508582336,11.2,59.89080550858233
2022-02-01,54.4385369490693,10.6,65.0385369490693
2022-03-01,61.144507099599466,11.2,72.34450709959947
2022-04-01,69.97108853194753,10.8,80.77108853194753
2022-05-01,73.49592904208757,10.8,84.29592904208756
2022-06-01,78.6183967843348,10.2,88.81839678433481
2022-07-01,79.60203470975465,10.2,89.80203470975465
2022-08-01,80.20760800915099,9.8,90.00760800915099
2022-09-01,83.45249299174995,10.1,93.55249299174994
2022-10-01,85.5148128806572,10.3,95.8148128806572
2022-11-01,84.38928346010594,10.2,94.58928346010595
