date,sp500
1965-01-31,87.55999755859375
1965-02-28,87.43000030517578
1965-03-31,86.16000366210938
1965-04-30,89.11000061035156
1965-05-31,88.41999816894531
1965-06-30,84.12000274658203
1965-07-31,85.25
1965-08-31,87.16999816894531
1965-09-30,89.95999908447266
1965-10-31,92.41999816894531
1965-11-30,91.61000061035156
1965-12-31,92.43000030517578
1966-01-31,92.87999725341797
1966-02-28,91.22000122070312
1966-03-31,89.2300033569336
1966-04-30,91.05999755859375
1966-05-31,86.12999725341797
1966-06-30,84.73999786376953
1966-07-31,83.5999984741211
1966-08-31,77.0999984741211
1966-09-30,76.55999755859375
1966-10-31,80.19999694824219
1966-11-30,80.44999694824219
1966-12-31,80.33000183105469
1967-01-31,86.61000061035156
1967-02-28,86.77999877929688
1967-03-31,90.19999694824219
1967-04-30,94.01000213623047
1967-05-31,89.08000183105469
1967-06-30,90.63999938964844
1967-07-31,94.75
1967-08-31,93.63999938964844
1967-09-30,96.70999908447266
1967-10-31,93.30000305175781
1967-11-30,94.0
1967-12-31,96.47000122070312
1968-01-31,92.23999786376953
1968-02-29,89.36000061035156
1968-03-31,90.19999694824219
1968-04-30,97.45999908447266
1968-05-31,98.68000030517578
1968-06-30,99.58000183105469
1968-07-31,97.73999786376953
1968-08-31,98.86000061035156
1968-09-30,102.66999816894531
1968-10-31,103.41000366210938
1968-11-30,108.37000274658203
1968-12-31,103.86000061035156
1969-01-31,103.01000213623047
1969-02-28,98.12999725341797
1969-03-31,101.51000213623047
1969-04-30,103.69000244140625
1969-05-31,103.45999908447266
1969-06-30,97.70999908447266
1969-07-31,91.83000183105469
1969-08-31,95.51000213623047
1969-09-30,93.12000274658203
1969-10-31,97.12000274658203
1969-11-30,93.80999755859375
1969-12-31,92.05999755859375
1970-01-31,85.0199966430664
1970-02-28,89.5
1970-03-31,89.62999725341797
1970-04-30,81.5199966430664
1970-05-31,76.55000305175781
1970-06-30,72.72000122070312
1970-07-31,78.05000305175781
1970-08-31,81.5199966430664
1970-09-30,84.30000305175781
1970-10-31,83.25
1970-11-30,87.19999694824219
1970-12-31,92.1500015258789
1971-01-31,95.87999725341797
1971-02-28,96.75
1971-03-31,100.30999755859375
1971-04-30,103.94999694824219
1971-05-31,99.62999725341797
1971-06-30,98.69999694824219
1971-07-31,95.58000183105469
1971-08-31,99.02999877929688
1971-09-30,98.33999633789062
1971-10-31,94.2300033569336
1971-11-30,93.98999786376953
1971-12-31,102.08999633789062
1972-01-31,103.94000244140625
1972-02-29,106.56999969482422
1972-03-31,107.19999694824219
1972-04-30,107.66999816894531
1972-05-31,109.52999877929688
1972-06-30,107.13999938964844
1972-07-31,107.38999938964844
1972-08-31,111.08999633789062
1972-09-30,110.55000305175781
1972-10-31,111.58000183105469
1972-11-30,116.66999816894531
1972-12-31,118.05000305175781
1973-01-31,116.02999877929688
1973-02-28,111.68000030517578
1973-03-31,111.5199966430664
1973-04-30,106.97000122070312
1973-05-31,104.94999694824219
1973-06-30,104.26000213623047
1973-07-31,108.22000122070312
1973-08-31,104.25
1973-09-30,108.43000030517578
1973-10-31,108.29000091552734
1973-11-30,95.95999908447266
1973-12-31,97.55000305175781
1974-01-31,96.56999969482422
1974-02-28,96.22000122070312
1974-03-31,93.9800033569336
1974-04-30,90.30999755859375
1974-05-31,87.27999877929688
1974-06-30,86.0
1974-07-31,79.30999755859375
1974-08-31,72.1500015258789
1974-09-30,63.540000915527344
1974-10-31,73.9000015258789
1974-11-30,69.97000122070312
1974-12-31,68.55999755859375
1975-01-31,76.9800033569336
1975-02-28,81.58999633789062
1975-03-31,83.36000061035156
1975-04-30,87.30000305175781
1975-05-31,91.1500015258789
1975-06-30,95.19000244140625
1975-07-31,88.75
1975-08-31,86.87999725341797
1975-09-30,83.87000274658203
1975-10-31,89.04000091552734
1975-11-30,91.23999786376953
1975-12-31,90.19000244140625
1976-01-31,100.86000061035156
1976-02-29,99.70999908447266
1976-03-31,102.7699966430664
1976-04-30,101.63999938964844
1976-05-31,100.18000030517578
1976-06-30,104.27999877929688
1976-07-31,103.44000244140625
1976-08-31,102.91000366210938
1976-09-30,105.23999786376953
1976-10-31,102.9000015258789
1976-11-30,102.0999984741211
1976-12-31,107.45999908447266
1977-01-31,102.02999877929688
1977-02-28,99.81999969482422
1977-03-31,98.41999816894531
1977-04-30,98.44000244140625
1977-05-31,96.12000274658203
