date,gdp_growth
2015-01-01,3.556343720087389
2015-04-01,6.840300816883778
2015-07-01,5.91244170064806
2015-10-01,6.682537261671342
2016-01-01,4.708661572558553
2016-04-01,3.941848239355159
2016-07-01,0.2298813799061779
2016-10-01,4.204192419225522
2017-01-01,5.261579150492984
2017-04-01,6.185219680956884
2017-07-01,11.998882582152303
2017-10-01,7.617309205405903
2018-01-01,8.339739144230807
2018-04-01,5.956840889886621
2018-07-01,2.562538882384545
2018-10-01,-2.1404844377159806
2019-01-01,-1.587341428585695
2019-04-01,0.3827903043114139
2019-07-01,1.115607364282307
2019-10-01,5.922234682743943
2020-01-01,4.175106244764381
2020-04-01,-8.636475850029528
2020-07-01,5.658764533115052
2020-10-01,5.352974839000842
2021-01-01,7.796697453710392
2021-04-01,22.210282690253955
2021-07-01,9.357934853944826
2021-10-01,9.969196621474564
2022-01-01,6.783060230444782
2022-04-01,6.8647654773968965
2022-07-01,4.172317778074074
2022-10-01,3.28961380189972
2023-01-01,2.7872922234051374
2023-04-01,5.888880905265641
2023-07-01,5.759782074557898
2023-10-01,5.443847151755493
2024-01-01,7.175778089512247
2024-04-01,2.190713156337258
2024-07-01,2.040381775161073
2024-10-01,2.693788341076076
2025-01-01,2.6863583491383816
2025-04-01,4.459072417943303
2025-07-01,4.930799883654418
