date,bist100_usd
2015-01-31,368.2289475416726
2015-02-28,335.98744767604086
2015-03-31,310.63387350202856
2015-04-30,315.9746030253202
2015-05-31,312.5087630375274
2015-06-30,304.25430468435667
2015-07-31,286.6536115713145
2015-08-31,257.7406225200052
2015-09-30,244.24518690158263
2015-10-31,270.58500430253446
2015-11-30,257.14766501522075
2015-12-31,245.631554216715
2016-01-31,247.45060581156463
2016-02-29,253.732469298906
2016-03-31,293.91905090719507
2016-04-30,303.536144996247
2016-05-31,263.4469104164137
2016-06-30,265.9990068163113
2016-07-31,250.4853119642906
2016-08-31,256.36013893657093
2016-09-30,255.20837664514963
2016-10-31,252.82662604284292
2016-11-30,217.0317718946634
2016-12-31,222.13522296908394
2017-01-31,228.52461948863936
2017-02-28,242.52914885115348
2017-03-31,243.40347140011136
2017-04-30,265.63803263885075
2017-05-31,274.57025334784316
2017-06-30,284.99805083206985
2017-07-31,304.4215465652956
2017-08-31,318.3986287360938
2017-09-30,289.20232469352345
2017-10-31,291.5931301870518
2017-11-30,262.8476693250766
2017-12-31,305.36579405514664
2018-01-31,316.57052267237805
2018-02-28,311.77963954626233
2018-03-31,291.33714111655246
2018-04-30,257.381540922875
2018-05-31,225.24230096188023
2018-06-30,210.2594243509073
2018-07-31,198.55836855166618
2018-08-31,137.6916118761706
2018-09-30,166.43582615329134
2018-10-31,164.57192969024592
2018-11-30,184.5489402773019
2018-12-31,173.04735110411232
2019-01-31,199.09218563757216
2019-02-28,196.8771151719027
2019-03-31,168.32151029611197
2019-04-30,160.39114865096667
2019-05-31,153.21643390964297
2019-06-30,167.16585701230187
2019-07-31,183.67662004255217
2019-08-31,165.82027325246494
2019-09-30,185.3175671469056
2019-10-31,172.7205247567219
2019-11-30,185.6601929824111
2019-12-31,192.39979782274597
2020-01-31,199.42495874073458
2020-02-29,170.770208365664
2020-03-31,136.54634788911326
2020-04-30,145.4604533183914
2020-05-31,154.92462254635618
2020-06-30,170.12070819592518
2020-07-31,161.69168858744226
2020-08-31,147.25036739746022
2020-09-30,146.60677130229345
2020-10-31,134.05666116654587
2020-11-30,164.198620626386
2020-12-31,200.26392369860693
2021-01-31,200.5902992473264
2021-02-28,200.92477145272318
2021-03-31,167.17630275168716
2021-04-30,170.77740403140402
2021-05-31,165.68601805967856
2021-06-30,155.43122539173763
2021-07-31,164.79528259404975
2021-08-31,175.93395207294486
2021-09-30,157.7355941920475
2021-10-31,159.7871710040197
2021-11-30,142.50651677431142
2021-12-31,139.77578775810935
2022-01-31,148.581954500241
2022-02-28,138.72776125308076
2022-03-31,152.4323683530307
2022-04-30,164.35223854610174
2022-05-31,155.46658545285547
2022-06-30,144.6570963915207
2022-07-31,144.46126180361426
2022-08-31,174.71832049805988
2022-09-30,171.91421792723193
2022-10-31,214.2349405935866
2022-11-30,267.03864693764535
2022-12-31,294.56097782597624
2023-01-31,264.5987654765446
2023-02-28,277.33619695217305
2023-03-31,250.98821445754348
2023-04-30,237.6000453002066
2023-05-31,237.09337537009267
2023-06-30,221.1743001580899
2023-07-31,268.88428365347033
2023-08-31,296.75683511352213
2023-09-30,303.5393372719182
2023-10-31,265.91505366182923
2023-11-30,274.64773543819547
2023-12-31,253.05593525101995
2024-01-31,279.87822734142367
2024-02-29,294.58485285183974
2024-03-31,281.74437575186596
2024-04-30,310.3389458351698
2024-05-31,322.55642797135386
2024-06-30,323.76274172724214
2024-07-31,321.42070469527545
2024-08-31,288.5538799776563
2024-09-30,283.0458070071943
2024-10-31,258.5480262619845
2024-11-30,278.56864675473435
2024-12-31,278.4443768537834
2025-01-31,279.0377084726041
2025-02-28,264.49155148240004
2025-03-31,254.36269673011753
2025-04-30,235.8050328430727
2025-05-31,230.04079246799316
2025-06-30,249.39328288649577
2025-07-31,264.69418971827895
2025-08-31,274.3792577193598
2025-09-30,264.8629239082724
2025-10-31,261.05962046362043
2025-11-30,256.52994222792165
2025-12-31,261.32566455590484
